Source,Target,Weight,Type
dannunzio_forse_1910,dannunzio_fuoco_1900,55,undirected
dannunzio_forse_1910,dannunzio_piacere_1889,18,undirected
dannunzio_forse_1910,dannunzio_trionfo_1894,30,undirected
dannunzio_forse_1910,dannunzio_vergini_1895,13,undirected
dannunzio_fuoco_1900,dannunzio_forse_1910,55,undirected
dannunzio_fuoco_1900,dannunzio_piacere_1889,30,undirected
dannunzio_fuoco_1900,dannunzio_trionfo_1894,50,undirected
dannunzio_fuoco_1900,dannunzio_vergini_1895,6,undirected
dannunzio_giovanni_1891,dannunzio_innocente_1892,53,undirected
dannunzio_giovanni_1891,dannunzio_trionfo_1894,6,undirected
dannunzio_giovanni_1891,neera_amuleto_1897,17,undirected
dannunzio_giovanni_1891,serao_mano_1912,18,undirected
dannunzio_giovanni_1891,tozzi_croci_1920,1,undirected
dannunzio_giovanni_1891,tozzi_egoisti_1924,1,undirected
dannunzio_innocente_1892,dannunzio_giovanni_1891,53,undirected
dannunzio_innocente_1892,dannunzio_piacere_1889,9,undirected
dannunzio_innocente_1892,dannunzio_trionfo_1894,26,undirected
dannunzio_innocente_1892,neera_amuleto_1897,7,undirected
dannunzio_piacere_1889,dannunzio_forse_1910,18,undirected
dannunzio_piacere_1889,dannunzio_fuoco_1900,30,undirected
dannunzio_piacere_1889,dannunzio_innocente_1892,9,undirected
dannunzio_piacere_1889,dannunzio_trionfo_1894,55,undirected
dannunzio_piacere_1889,dannunzio_vergini_1895,15,undirected
dannunzio_trionfo_1894,dannunzio_forse_1910,30,undirected
dannunzio_trionfo_1894,dannunzio_fuoco_1900,50,undirected
dannunzio_trionfo_1894,dannunzio_giovanni_1891,6,undirected
dannunzio_trionfo_1894,dannunzio_innocente_1892,26,undirected
dannunzio_trionfo_1894,dannunzio_piacere_1889,55,undirected
dannunzio_trionfo_1894,dannunzio_vergini_1895,28,undirected
dannunzio_vergini_1895,dannunzio_forse_1910,13,undirected
dannunzio_vergini_1895,dannunzio_fuoco_1900,6,undirected
dannunzio_vergini_1895,dannunzio_piacere_1889,15,undirected
dannunzio_vergini_1895,dannunzio_trionfo_1894,28,undirected
dannunzio_vergini_1895,serao_fanciulla_1886,2,undirected
deamicis_costanti_1878,deamicis_lidioma_1905,3,undirected
deamicis_costanti_1878,deamicis_londra_1874,50,undirected
deamicis_costanti_1878,deamicis_oceano_1889,40,undirected
deamicis_costanti_1878,deamicis_parigi_1879,60,undirected
deamicis_cuore_1886,deamicis_frasct_1892,37,undirected
deamicis_cuore_1886,deamicis_oceano_1889,14,undirected
deamicis_cuore_1886,deamicis_primoma_1900,8,undirected
deamicis_cuore_1886,deledda_colombi_1912,5,undirected
deamicis_cuore_1886,deledda_igiuochi_1905,4,undirected
deamicis_cuore_1886,tozzi_croci_1920,2,undirected
deamicis_frasct_1892,deamicis_cuore_1886,37,undirected
deamicis_frasct_1892,deamicis_oceano_1889,33,undirected
deamicis_frasct_1892,deamicis_primoma_1900,60,undirected
deamicis_frasct_1892,tozzi_chiusi_1919,3,undirected
deamicis_lidioma_1905,deamicis_costanti_1878,3,undirected
deamicis_lidioma_1905,deamicis_londra_1874,9,undirected
deamicis_lidioma_1905,deamicis_parigi_1879,33,undirected
deamicis_lidioma_1905,deamicis_primoma_1900,33,undirected
deamicis_londra_1874,deamicis_costanti_1878,50,undirected
deamicis_londra_1874,deamicis_lidioma_1905,9,undirected
deamicis_londra_1874,deamicis_oceano_1889,20,undirected
deamicis_londra_1874,deamicis_parigi_1879,40,undirected
deamicis_londra_1874,neera_passione_1903,3,undirected
deamicis_londra_1874,serao_dalvero_1879,2,undirected
deamicis_oceano_1889,deamicis_costanti_1878,40,undirected
deamicis_oceano_1889,deamicis_cuore_1886,14,undirected
deamicis_oceano_1889,deamicis_frasct_1892,33,undirected
deamicis_oceano_1889,deamicis_londra_1874,20,undirected
deamicis_oceano_1889,deamicis_parigi_1879,13,undirected
deamicis_oceano_1889,deamicis_primoma_1900,14,undirected
deamicis_parigi_1879,deamicis_costanti_1878,60,undirected
deamicis_parigi_1879,deamicis_lidioma_1905,33,undirected
deamicis_parigi_1879,deamicis_londra_1874,40,undirected
deamicis_parigi_1879,deamicis_oceano_1889,13,undirected
deamicis_parigi_1879,deamicis_primoma_1900,2,undirected
deamicis_parigi_1879,serao_dalvero_1879,1,undirected
deamicis_primoma_1900,deamicis_cuore_1886,8,undirected
deamicis_primoma_1900,deamicis_frasct_1892,60,undirected
deamicis_primoma_1900,deamicis_lidioma_1905,33,undirected
deamicis_primoma_1900,deamicis_oceano_1889,14,undirected
deamicis_primoma_1900,deamicis_parigi_1879,2,undirected
deamicis_primoma_1900,tozzi_chiusi_1919,1,undirected
deledda_cenere_1904,deledda_colombi_1912,7,undirected
deledda_cenere_1904,deledda_elias_1903,50,undirected
deledda_cenere_1904,deledda_fior_1891,10,undirected
deledda_cenere_1904,deledda_igiuochi_1905,60,undirected
deledda_cenere_1904,deledda_lagiust_1899,5,undirected
deledda_cenere_1904,deledda_laviamale_1896,36,undirected
deledda_cenere_1904,deledda_ledera_1908,19,undirected
deledda_cenere_1904,deledda_neldeserto_1911,13,undirected
deledda_colombi_1912,deamicis_cuore_1886,5,undirected
deledda_colombi_1912,deledda_cenere_1904,7,undirected
deledda_colombi_1912,deledda_elias_1903,9,undirected
deledda_colombi_1912,deledda_ilsigillo_1926,41,undirected
deledda_colombi_1912,deledda_ilvecch_1900,5,undirected
deledda_colombi_1912,deledda_ledera_1908,55,undirected
deledda_colombi_1912,deledda_neldeserto_1911,39,undirected
deledda_elias_1903,deledda_cenere_1904,50,undirected
deledda_elias_1903,deledda_colombi_1912,9,undirected
deledda_elias_1903,deledda_fior_1891,1,undirected
deledda_elias_1903,deledda_igiuochi_1905,14,undirected
deledda_elias_1903,deledda_ilvecch_1900,4,undirected
deledda_elias_1903,deledda_laviamale_1896,15,undirected
deledda_elias_1903,deledda_ledera_1908,12,undirected
deledda_fior_1891,deledda_cenere_1904,10,undirected
deledda_fior_1891,deledda_elias_1903,1,undirected
deledda_fior_1891,deledda_lagiust_1899,19,undirected
deledda_fior_1891,deledda_laviamale_1896,8,undirected
deledda_fior_1891,deledda_neldeserto_1911,1,undirected
deledda_fior_1891,neera_indomani_1889,6,undirected
deledda_fior_1891,neera_passione_1903,9,undirected
